date,exchange_symbol,open,high,low,close,volume,open_interest
2/12/2019,ES_C19_2725,,,,52.7,,
2/13/2019,ES_C19_2725,,,,55.9,,
2/14/2019,ES_C19_2725,,,,52.4,,
2/15/2019,ES_C19_2725,,,,72.7,,
2/18/2019,ES_C19_2725,,,,72.7,,
1/10/2019,EW2_A19_2595,,,,9.4,,
1/15/2019,WF3_A19_1145,,,,0.085938,,
1/15/2019,WF3_M19_1147,,,,0.234375,,
1/16/2019,ZN3_A19_1217,,,,0.125,,
1/17/2019,ZN3_A19_1217,,,,0.03125,,
1/22/2019,OZF_B19_1142,,,,0.140625,,
1/23/2019,OZF_B19_1142,,,,0.0625,,
1/24/2019,OZF_B19_1142,,,,0.164062,,
1/23/2019,OZF_B19_1140,,,,0.210938,,
1/24/2019,OZF_B19_1140,,,,0.398438,,
1/24/2019,EW4_M19_2630,,,,6.9,,
1/28/2019,WF5_O1140A9.CB,,,,0.257812,,
1/29/2019,WF5_O1140A9.CB,,,,0.7656,,
