exchange_symbol,platform,platform_symbol
UB,CME,UBE
ZB,CME,17
ZN,CME,21
ZF,CME,25
ZF,CME,26
YT,RIC,YTT
XT,RIC,YTC
JGBM,RIC,JMB
JGBL,RIC,JGB
JGBLM,RIC,JGM
JGBSL,RIC,JTB
FBTM,RIC,FBTM
FBTP,RIC,FBTP
FBTS,RIC,FBTS
FGBS,RIC,FGBS
FGBM,RIC,FGBM
FGBL,RIC,FGBL
FGBX,RIC,FGBX
FOAM,RIC,FOAM
FOAT,RIC,FOAT
H,RIC,H
R,RIC,FLG
UB,RIC,AUL
ZB,RIC,US
ZN,RIC,TY
ZF,RIC,FV
ZT,RIC,TU
CGB,RIC,CGB
CGF,RIC,CGF
BZ,RIC,BZZ
CL,RIC,CL
QM,RIC,QM
GC,RIC,GC
QO,RIC,1QO
SI,RIC,SI
QI,RIC,1QI
HG,RIC,1HG
QC,RIC,1QC
NG,RIC,NG
QG,RIC,QG
RB,RIC,RB
QU,RIC,QU
AM,RIC,YMF
AP,RIC,YAP
MHI,RIC,HMH
HSI,RIC,HSI
N225,RIC,JNI
N225M,RIC,JNM
FDAX,RIC,FDX
FDXM,RIC,FDXM
FTMIB,RIC,IFS
BXF,RIC,BFX
FCE,RIC,FCE
OBX,RIC,OBX
MIX,RIC,MFMI
IBX,RIC,MFXI
OMXS30,RIC,OMXS30
FSMI,RIC,FSMI
Z,RIC,FFI
FMRU,RIC,FMRS
ID,RIC,SIO
MY,RIC,SMY
TH,RIC,SDTD
IN,RIC,SIN
TW,RIC,STW
CN,RIC,SFC
YM,RIC,YM
SP,RIC,SP
ES,RIC,ES
SXM,RIC,SXM
SXF,RIC,SXF
IR,RIC,YBA
FEU3,RIC,FEU3
I,RIC,FEI
S,RIC,FES
L,RIC,FSS
GE,RIC,ED
BAX,RIC,BAX
YT,BBG,YM
XT,BBG,XM
JGBM,BBG,backfill
JGBL,BBG,JB
JGBLM,BBG,backfill
JGBSL,BBG,backfill
FBTM,BBG,IGO
FBTP,BBG,IK
FBTS,BBG,BTS
FGBS,BBG,DU
FGBM,BBG,OE
FGBL,BBG,RX
FGBX,BBG,UB
FOAM,BBG,BTA
FOAT,BBG,OAT
H,BBG,WX
R,BBG,G 
UB,BBG,WN
ZB,BBG,US
ZN,BBG,TY
ZF,BBG,FV
ZF,BBG,TU
CGB,BBG,CN
CGF,BBG,XQ
BZ,BBG,BZA
CL,BBG,CL
QM,BBG,EC
GC,BBG,backfill
QO,BBG,backfill
SI,BBG,backfill
QI,BBG,backfill
HG,BBG,HG
QC,BBG,OP
NG,BBG,NG
QG,BBG,EO
RB,BBG,XB
QU,BBG,QU
AM,BBG,XP
AP,BBG,MXP
MHI,BBG,HU
HIS,BBG,HI
N225,BBG,NK
N225M,BBG,NO
FDAX,BBG,GX
FDXM,BBG,backfill
FTMIB,BBG,ST
BXF,BBG,BE
FCE,BBG,CF
OBX,BBG,OI
MIX,BBG,ID
IBX,BBG,IB
OMXS30,BBG,QC
FSMI,BBG,SM
Z,BBG,Z 
FMRU,BBG,ZWB
ID,BBG,IDO
MY,BBG,ZVO
TH,BBG,ZWO
IN,BBG,IH
TW,BBG,TW
CN,BBG,XU
YM,BBG,DM
SP,BBG,backfill
ES,BBG,ES
SXM,BBG,backfill
SXF,BBG,PT
IR,BBG,IR
FEU3,BBG,FP
I,BBG,ER
S,BBG,ES
L,BBG,L 
GE,BBG,ED
BAX,BBG,BA
